brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,turbo,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,price,avg_mpg,car_age,reliability_rating
Toyota,Sequoia Platinum,2019,52906,5.7L V8 32V MPFI DOHC,5.7,6-Speed Automatic,1,Gasoline,Four-wheel Drive,13,17,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,47769,15,6,
Mazda,CX-9 Signature,2022,29809,2.5L I4 16V GDI DOHC Turbo,2.5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,20.92617980490377,27.91642499340891,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,39521,24.42130239915634,3,81
Honda,Fit Sport,2009,56901,1.5L I4 16V MPFI SOHC,1.5,5-Speed Automatic,1,Gasoline,Front-wheel Drive,27,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11995,30,16,83
Alfa,Romeo Stelvio Base,2021,15095,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,17,24,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,30988,20.5,4,
Mercedes-Benz,C-Class C 300 4MATIC,2022,10734,2.0L I4 16V GDI DOHC Turbo,2,9-Speed Automatic,1,Gasoline,Four-wheel Drive,24,32,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,47495,28,3,
Cadillac,XT5 Luxury,2017,69705,3.6L V6 24V GDI DOHC,3.6,8-Speed Automatic,1,Gasoline,Front-wheel Drive,18,25,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,25994,21.5,8,84
Audi,A3 Premium,2022,5224,2.0L I4 16V GDI DOHC Turbo,2,7-Speed Automatic with Auto-Shift,1,Gasoline,Front-wheel Drive,29,38,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,31489,33.5,3,77
Audi,A6 55 Premium Plus,2020,27795,2.0L I4 16V GDI DOHC Turbo,2,7-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,24,32,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,38998,28,5,
Chevrolet,Trailblazer LT,2022,16051,1.3L I3 12V GDI DOHC Turbo,1.3,Automatic CVT,1,Gasoline,Front-wheel Drive,29,31,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,27926,30,3,86
Hyundai,Veloster 2.0,2021,33267,2.0L I4 16V MPFI DOHC,2,6-Speed Manual,0,Gasoline,Front-wheel Drive,21,26,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,19500,23.5,4,
Toyota,Highlander LE,2019,53663,3.5L V6 24V PDI DOHC,3.5,8-Speed Automatic,1,Gasoline,Four-wheel Drive,19,26,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,27591,22.5,6,80
BMW,M4 Competition xDrive,2022,14934,3.0L I6 24V GDI DOHC Twin Turbo,3,Automatic,1,Gasoline,Four-wheel Drive,20.92617980490377,27.91642499340891,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,80321,24.42130239915634,3,
Jeep,Grand Cherokee L Altitude,2021,10268,Regular Unleaded V-6 3.6 L/220,3.6,Automatic,1,Gasoline,Four-wheel Drive,17,23,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,38987,20,4,
Mercedes-Benz,AMG GLE 43 4MATIC Coupe,2019,23280,3.0L V6 24V GDI DOHC Twin Turbo,3,9-Speed Automatic,1,Gasoline,Four-wheel Drive,15,20,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,58259,17.5,6,
Lexus,UX 250h F Sport,2020,27305,2.0L I4 16V PDI DOHC Hybrid,2,Automatic CVT,1,Hybrid,Four-wheel Drive,15,18,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,33678,16.5,5,
